quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-23777,-42449,10086,47992,-40506
3,2024,-5994,5699,-4487,-2800,8360
2,2024,-4201,3767,-933,-859,7540
1,2024,-16755,5080,20047,-26457,15491
4,2023,-16735,-9217,20559,1065,6552
3,2023,-15067,-19090,13099,4371,-682
2,2023,-12295,-385,5297,-3859,6921
1,2023,-14720,-9603,10831,-9992,6512
4,2022,-16381,8895,-8162,-973,-39348
3,2022,-24119,-12805,14463,-17404,4695
2,2022,-20594,-5152,11866,20239,-39117
1,2022,-18425,-11431,10083,-1762,-14630
4,2021,-9389,-9655,-1884,9930,-14360
3,2021,-18954,5822,1713,-9577,-1114
2,2021,-5608,-11568,8113,3717,12063
1,2021,-6988,-5301,11605,-12666,17763
4,2020,-7777,-4364,-9482,11734,-22683
3,2020,-7957,-6572,698,9192,-7935
2,2020,-397,1028,8131,6812,9456
1,2020,-11291,-7013,9675,-10109,5853
4,2019,-16555,-31138,24972,8127,-48605
3,2019,-18195,-1228,284,-6074,-4302
2,2019,-6601,-9314,21460,3957,3198
1,2019,-19085,-23652,10927,6610,-23831
4,2018,-9859,-10597,17905,-9692,-18302
3,2018,-13068,-17155,17030,2763,-10408
2,2018,-8658,-618,11157,-4782,3499
1,2018,-10870,-29079,23289,5196,-8194
4,2017,-9394,-13067,401,14329,-18288
3,2017,-4004,-4831,2914,-667,1141
2,2017,-6307,-12600,-823,9254,-11626
1,2017,-2345,408,4646,-1188,2957
4,2016,-3430,13844,-14211,684,-10568
3,2016,-1404,-4727,5685,3820,-1444
2,2016,-4973,1125,-1676,742,-2613
1,2016,-2442,-5802,3529,13,1068
4,2015,-2612,-18209,5271,10679,-38210
3,2015,-4433,-8384,-1257,10707,-13896
2,2015,-4550,-6658,3452,6633,-8318
1,2015,-3787,-6947,3365,1375,-2583
4,2014,-5687,525,-6849,8723,-13716
3,2014,-723,-2852,1241,99,-2702
2,2014,-5887,-8850,4648,2789,8047
1,2014,-807,-2862,3305,157,-8781
4,2013,-4074,-11704,7786,5182,4629
3,2013,-2191,-3314,450,6747,-5232
2,2013,-3725,2146,-4282,347,2147
1,2013,-646,2885,1299,-1626,2846
4,2012,1698,315,2364,-4461,1160
4,2012,1698,315,2364,-4461,1160
3,2012,-1070,-1338,1736,-504,3633
2,2012,-719,1154,4581,-3238,-1145
1,2012,-579,-2082,-1000,2857,-5310
4,2011,631,-479,1003,-186,-2824
4,2011,631,-479,1003,-186,-2824
3,2011,-2015,-645,-1862,3208,401
2,2011,98,-341,-1550,1434,899
1,2011,-1327,-1068,219,-17,-709
4,2010,-4667,-5567,5694,-39,2307
4,2010,-4667,-5567,5694,-39,807
2,2010,-2348,-1515,1957,-911,-291
1,2010,-1292,-1252,326,-253,-291
1,2009,-168,-90,121,-14,-2008
