quarter,year,invest_cost,from_invest,from_financial,from_sale,free_cash_flow
4,2024,-381,2691,-4384,1296,10462.0
3,2024,-392,-3219,482,4164,8850.0
2,2024,-590,-3184,-732,3318,9475.0
1,2024,-378,-27,-2008,908,10457.0
4,2023,-520,-561,-3891,485,11854.0
3,2023,-191,464,884,3942,7702.0
2,2023,-511,-3366,-395,3331,7861.0
1,2023,-357,475,-891,129,10337.0
4,2022,-544,2028,-4231,1637,10114.0
3,2022,-275,-447,-5437,4235,8035.0
2,2022,-377,1322,-1311,2810,9375.0
1,2022,-261,570,-1382,145,13019.0
4,2021,-477,-1343,316,1310,13588.0
3,2021,-638,-73,-3582,4055,9833.0
2,2021,-242,-489,-1926,2877,11974.0
1,2021,-174,-2029,-65,1189,12976.0
4,2020,-331,784,-2630,1623,14454.0
3,2020,-260,-1204,-2384,3749,11272.0
2,2020,-286,-2282,150,2928,12039.0
1,2020,-388,-2100,-1062,1880,12187.0
4,2019,-413,-2812,1188,3246,10951.0
3,2019,-516,-1412,-2662,3445,10264.0
2,2019,-552,-1359,-1496,3321,10700.0
1,2019,-678,-1165,-546,1399,12004.0
4,2018,-754,-1821,76,2639,11597.0
3,2018,-736,789,-3745,2240,9975.0
2,2018,-1098,129,-1974,2628,9500.0
1,2018,-597,-143,-892,634,12270.0
4,2017,-1015,-446,-307,1046,10092.0
3,2017,-531,434,-2874,2517,10565.0
2,2017,-609,-1578,-3056,3003,10056.0
1,2017,-518,-181,-1298,3035,10269.0
4,2016,-564,-1915,-31,1834,11079.0
3,2016,-275,-464,-4514,2688,9426.0
2,2016,-124,1398,-2513,2953,9294.0
1,2016,-179,-964,-83,916,10209.0
4,2015,-199,-1775,105,1591,8403.0
3,2015,-286,465,-3470,2579,7336.0
2,2015,-369,308,-1976,2301,6826.0
1,2015,-212,-1123,-363,1189,6740.0
4,2014,-288,-677,-10,1544,7511.0
3,2014,-281,-1336,-357,1146,6253.0
2,2014,-121,-114,-1645,1784,7111.0
1,2014,-168,-1745,-661,854,6579.0
4,2013,-414,-784,0,1846,6100.0
3,2013,-472,455,-1667,2086,6789.0
2,2013,-251,-891,-1500,1567,6877.0
1,2013,-354,-298,0,682,3937.0
4,2012,-598,-1766,0,2464,4963.0
4,2012,-598,-1766,0,2464,4963.0
3,2012,-506,-1571,-1320,1303,4080.0
2,2012,-1091,-908,-1321,1387,4841.0
1,2012,-939,-728,416,141,4647.0
3,2011,-518,1814,-1369,1349,5104.0
2,2011,-381,-1079,1355,-307,4748.0
1,2011,-285,-426,453,-67,3794.0
4,2010,-533,-1247,247,974,1297.0
4,2010,-533,-1247,247,974,4446.0
3,2010,-900,254,-1435,1045,3081.0
2,2010,-189,-696,-37,974,3167.0
1,2010,-182,-211,-337,342,3167.0
1,2009,-132,180,-181,650,1487.0
1,2008,-74,-532,531,35,
