quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
4,2024,15477,-0.009,-0.004,-9267,6210,-3906,2304,-0.057,-0.128,-66,2643,2147,2124,-0.087,-0.116,2807.0
3,2024,15537,-0.006,-0.067,-9136,6401,-3758,2643,-0.035,-0.13,-63,2942,2403,2404,-0.036,-0.1,3207.0
2,2024,16656,0.096,0.18,-9588,7068,-4031,3037,0.205,0.255,-64,3309,2696,2670,0.215,0.217,3561.0
1,2024,14112,0.014,-0.096,-8201,5912,-3491,2420,0.171,-0.01,-86,2706,2207,2195,0.182,-0.056,2925.0
4,2023,15619,0.037,-0.001,-9177,6442,-3998,2444,0.185,-0.108,-96,2852,2351,2326,0.244,-0.067,3207.0
3,2023,15637,-0.028,0.029,-9082,6555,-3815,2740,0.019,0.087,-80,3076,2533,2492,0.084,0.133,3232.0
2,2023,15195,0.018,0.092,-9045,6150,-3630,2520,0.057,0.219,-96,2728,2229,2199,0.056,0.184,3036.0
1,2023,13918,0.003,-0.076,-8520,5398,-3331,2067,-0.211,0.003,-82,2312,1906,1857,-0.18,-0.007,2596.0
4,2022,15069,-0.047,-0.063,-9223,5846,-3784,2062,-0.154,-0.233,-53,2295,1869,1869,-0.149,-0.187,2580.0
3,2022,16079,-0.007,0.077,-9729,6350,-3662,2688,-0.171,0.128,-50,2860,2323,2298,-0.214,0.103,3208.0
2,2022,14930,-0.05,0.076,-8854,6077,-3693,2384,-0.273,-0.09,-37,2576,2102,2083,-0.265,-0.081,2903.0
1,2022,13878,0.052,-0.123,-8253,5625,-3005,2620,-0.065,0.075,-26,2764,2283,2266,-0.121,0.032,3157.0
4,2021,15819,0.097,-0.023,-9094,6725,-4288,2438,0.136,-0.248,-23,2688,2213,2196,0.005,-0.249,2972.0
3,2021,16194,0.041,0.03,-9250,6944,-3702,3242,-0.08,-0.011,-24,3587,2961,2926,-0.049,0.032,3781.0
2,2021,15716,0.014,0.191,-8861,6854,-3575,3279,-0.03,0.17,-28,3494,2862,2835,-0.077,0.1,3827.0
1,2021,13190,-0.068,-0.086,-7435,5755,-2953,2802,-0.128,0.305,-13,3154,2597,2576,-0.068,0.179,3301.0
