Year,GDP,GDP_Growth,GDP_Per_Capita,Inflation,Unemployment
1996,24657470574.7501,9.34001749939179,337.051231790277,5.67499999999994,1.93
1997,26843700441.5482,8.1520841433542,361.643884085566,3.20952606261374,2.87
1998,27209602050.0452,5.76445545848843,361.350928411167,7.2661980440096,2.29
1999,28683659006.7752,4.77358688344989,375.994455900496,4.11710235771736,2.33
2000,31172518403.3162,6.78731640463151,404.029784055118,-1.71033727851109,2.26
2001,32685198808.5549,6.19289331233377,419.205677580901,-0.43154451172818,2.76
2002,35064105500.8344,6.32082099160833,445.132861817313,3.83082838168467,2.12
2003,39552513231.9169,6.89906349055258,497.117089249256,3.23464817293927,2.25
2004,45427854693.2554,7.53641060890386,565.452284586212,7.75494748709601,2.14
2005,57633255738.1992,7.54724772895918,710.746759994861,8.28457243128677,2.078
2006,66371664817.0436,6.97795481056711,807.756645117054,7.41801715108463,2.046
2007,77414425532.2452,7.12950448605439,925.640338348717,8.34444889773837,2.026
2008,99130304099.1274,5.66177120891362,1163.83195772873,23.1154483474477,1.889
2009,106014659565.214,5.39789754014181,1226.16976051536,6.71698269988629,1.737
2010,147201173196.979,6.42324482239482,1683.16182443979,9.20746648778413,1.114
2011,172595049183.925,6.41316889681683,1950.92504174913,18.6777322770707,0.999
2012,195590661129.249,5.5045447041189,2185.11767654291,9.09470339557192,1.027
2013,213708811665.34,5.55351081026072,2359.51736472828,6.59267475899192,1.316
2014,233451469642.519,6.42224312118567,2546.38464459903,4.08455446637617,1.256
2015,239258328381.741,6.98715430598611,2577.56885340113,0.631200905175754,1.848
2016,257096001177.982,6.69000892660424,2735.0604380416,2.66824816969082,1.848
2017,281353605986.903,6.94019037359206,2956.10992127753,3.52025688811617,1.874
2018,310106478394.659,7.46500685572751,3222.31003125366,3.53962805942641,1.161
2019,334365270496.667,7.35926270105006,3440.90025375434,2.7958236745225,1.681
2020,346615738537.796,2.86541320912272,3534.03953482647,3.22093436652514,2.103
2021,366474752771.009,2.55372852648131,3704.1935590038,1.83471554810444,2.385
2022,410324028883.325,8.12351446767343,4116.38576094153,3.15650749963129,1.523
2023,429716969043.572,5.0464307361882,4282.08851724506,3.25289282667662,1.645
