model,horizon,annualized_sharpe,annualized_volatility,ending_equity
LSTM,30,-0.022232869760037424,0.005584301035180358,58.22096407133923
LSTM,60,0.1258843263318834,0.0016259892346768697,219.68382984364615
LSTM,90,0.07001267924243308,0.0016098053569540357,120.62692265376138
LSTM,180,,,100.0
GRU,30,-0.016164539304825157,0.005788887269505721,70.59092892311554
GRU,60,0.09954272959742426,0.0018200277460111254,201.80093159280958
GRU,90,0.08867475631697787,0.000650900627634186,109.4757519947216
GRU,180,,,100.0
CNN_BiLSTM,30,-0.028550358672117592,0.005256558821333851,49.448879767527416
CNN_BiLSTM,60,0.1472930935320998,0.0014167080927645244,225.4649920229498
CNN_BiLSTM,90,0.10684943985861459,0.0007590280768203611,112.18016607360573
CNN_BiLSTM,180,,,100.0
