Date,Close,Open,High,Low,Volume,Change,Symbol,return_day,return_week,return_month,volatility_day,volatility_week,volatility_month,liquidity_day,liquidity_week,liquidity_month,high_minus_close,low_minus_open,cumulative_return,Stochastic_Osc,ATR,ADX14,ADX20,SMA_3,SMA_7,SMA_14,SMA_21,SMA_50,SMA_100,WMA_3,WMA_7,WMA_14,WMA_21,WMA_50,WMA_100,EMA6,EMA12,EMA26,outMACD,outMACDSignal,outMACDHist,RSI6,RSI12,RSI14,StochRSI_6,StochRSI_12,StochRSI_14,BBANDSMIDDLE,BBANDSUPPER,BBANDSLOWER,OBV,MFI14,MOM1,MOM3,MOM7,CCI12,CCI20,ROCR3,ROCR12,WILLR,TRIX
2018-01-01,17314.2,17765.9,18067.0,17163.6,11880000.0,-2.54,PVS_RRV,-0.0126582278481012,-0.0270270270270269,-0.0290456431535269,0.0052126010372598,0.0107188099302209,0.0109519365059548,11880000.0,11880000.0,11880000.0,0.0423733106681901,-0.0339020257909817,0.0,16.6703564312599,903.4000000000016,,,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,0.0,0.0,0.0,14.161193194353643,29.367421217574844,32.23501027939835,0.0,0.0,0.0,17314.2,24251.40895065933,23396.210096959716,0.0,38.35870557602568,-300.0,-566.6666666666679,-200.0,-178.5575048732943,-137.16108452950684,0.976356050069541,0.9669421487603306,-83.3296435687401,-0.0025541202885559
2018-01-02,17314.2,17765.9,18067.0,17163.6,11880000.0,-2.54,PVS_RRV,0.0,-0.0270270270270269,-0.0290456431535269,0.0052126010372598,0.0107188099302209,0.0109519365059548,11880000.0,11880000.0,11880000.0,0.0423733106681901,-0.0339020257909817,0.0,16.6703564312599,903.4000000000016,,,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,17314.2,0.0,0.0,0.0,14.161193194353643,29.367421217574844,32.23501027939835,0.0,0.0,0.0,17314.2,17314.2,17314.2,0.0,38.35870557602568,0.0,-566.6666666666679,-200.0,-178.5575048732943,-137.16108452950684,0.976356050069541,0.9669421487603306,-83.3296435687401,0.0
2018-01-03,19045.6,17314.2,19045.6,16937.8,14970000.0,10.0,PVS_RRV,0.0999988448787698,-0.0270270270270269,-0.0290456431535269,0.0707098613245998,0.0707098613245998,0.0707098613245998,12910000.0,12910000.0,12910000.0,0.0,-0.0217393815480935,0.0999988448787698,100.0,1304.8666666666677,,,17891.333333333332,17891.333333333332,17891.333333333332,17891.333333333332,17891.333333333332,17891.333333333332,18179.9,18179.9,18179.9,18179.9,18179.9,18179.9,17808.885714285716,17580.56923076923,17442.451851851853,138.1173789173772,27.62347578347544,110.49390313390175,100.0,100.0,100.0,0.0,0.0,0.0,17891.333333333332,19890.581845483168,15892.084821183498,14970000.0,100.0,1731.3999999999978,-566.6666666666679,-200.0,99.99999999999966,99.99999999999966,0.976356050069541,0.9669421487603306,-0.0,0.0195310243903845
2018-01-04,19271.4,19196.2,19873.7,19196.2,9440000.0,1.19,PVS_RRV,0.0118557567102113,-0.0270270270270269,-0.0290456431535269,0.054634439590412,0.054634439590412,0.054634439590412,12042500.0,12042500.0,12042500.0,0.0313760015002968,0.0,0.1130401635651661,79.4849960829729,1185.675000000001,,,18543.733333333337,18236.35,18236.35,18236.35,18236.35,18236.35,18869.933333333334,18616.5,18616.5,18616.5,18616.5,18616.5,18226.74693877551,17840.697041420117,17577.92949245542,262.7675489646972,74.6522904197198,188.1152585449774,100.0,100.0,100.0,0.0,0.0,0.0,18236.35,20373.929724828995,16098.770275171002,24410000.0,100.0,225.8000000000029,1957.2000000000007,-200.0,120.00032203396673,120.00032203396673,1.113040163565166,0.9669421487603306,-20.515003917027112,0.0538055628030997
2018-01-05,19647.8,19271.4,20174.8,18819.8,11720000.0,1.95,PVS_RRV,0.0195315337754391,-0.0270270270270269,-0.0290456431535269,0.0454834387969279,0.0454834387969279,0.0454834387969279,11978000.0,11978000.0,11978000.0,0.0273462229002563,-0.0234336893012444,0.1347795451132596,83.71949335804757,1219.5400000000009,,,19321.6,18518.64,18518.64,18518.64,18518.64,18518.64,19421.966666666664,18960.266666666663,18960.266666666663,18960.266666666663,18960.266666666663,18960.266666666663,18632.762099125364,18118.71288120164,17731.25323375502,387.4596474466198,137.21376182509982,250.24588562151996,100.0,100.0,100.0,0.0,0.0,0.0,18518.64,20759.329222538458,16277.95077746154,36130000.0,100.0,376.3999999999978,2333.5999999999985,-200.0,87.4180745525638,87.4180745525638,1.1347795451132596,0.9669421487603306,-16.280506641952424,0.1005790673862083
2018-01-06,19873.63333333333,19296.5,20224.966666666667,18995.433333333334,10893333.333333334,2.45,PVS_RRV,0.0114940773691372,0.1478227890017056,-0.0290456431535269,0.0405307646494964,0.0405307646494964,0.0405307646494964,11780666.666666668,11797222.222222222,11797222.222222222,0.0182071014605413,-0.0156021385570785,0.1478227890017056,89.31197079551787,1221.2055555555562,,,19597.61111111111,18744.472222222223,18744.472222222223,18744.472222222223,18744.472222222223,18744.472222222223,19697.983333333337,19221.22857142857,19221.22857142857,19221.22857142857,19221.22857142857,19221.22857142857,18987.296737470497,18388.700643068052,17889.948055946006,498.7525871220459,209.52152688448905,289.2310602375569,100.0,100.0,100.0,0.0,0.0,0.0,18744.472222222223,21033.6981123108,16455.246332133644,47023333.333333336,100.0,225.83333333333212,828.0333333333328,-200.0,76.72875580823805,76.72875580823805,1.0434763584940003,0.9669421487603306,-10.688029204482149,0.1559653030437147
2018-01-07,20099.466666666667,19321.6,20275.13333333333,19171.066666666666,10066666.666666666,2.95,PVS_RRV,0.0113634648252542,0.1608660328901519,-0.0290456431535269,0.0388098843399148,0.0369265908494294,0.0369265908494294,11418000.0,11550000.0,11550000.0,0.0090917246328805,-0.0077909351882523,0.1608660328901519,94.73631642029572,1204.471428571429,,,19873.63333333333,18938.042857142857,18938.042857142857,18938.042857142857,18938.042857142857,18938.042857142857,19948.911111111112,19440.788095238095,19440.788095238095,19440.788095238095,19440.788095238095,19440.788095238095,19305.05957438369,18651.89541592938,18053.616101184572,598.2793147448065,287.27308445655257,311.0062302882539,100.0,100.0,100.0,0.0,0.0,0.0,18938.042857142857,21265.33266567768,16610.753048608032,57090000.0,100.0,225.83333333333576,828.0666666666657,-200.0,74.07279108350566,74.07279108350566,1.042968682434419,0.9669421487603306,-5.263683579704284,0.2168183602136553
2018-01-08,20325.3,19346.7,20325.3,19346.7,9240000.0,3.45,PVS_RRV,0.0112357873509081,0.0671913722854622,-0.0290456431535269,0.0036049453415633,0.0341500900918918,0.0341500900918918,10272000.0,11261250.0,11261250.0,0.0,0.0,0.1739092767785979,100.0,1176.2375000000002,,,20099.466666666664,19368.2,19111.45,19111.45,19111.45,19111.45,20174.744444444445,19787.602380952383,19637.346296296295,19637.346296296295,19637.346296296295,19637.346296296295,19596.556838845492,18909.342275017167,18221.888982578308,687.4532924388586,367.3091260530138,320.1441663858448,100.0,100.0,100.0,0.0,0.0,0.0,19111.45,21478.88850271279,16744.01149728721,66330000.0,100.0,225.83333333333212,677.5,3011.0999999999985,74.92555271818077,74.92555271818077,1.0344822321074114,0.9669421487603306,-0.0,0.2806115397606668
2018-01-09,20551.2,20475.9,20852.3,20099.5,6450000.0,1.11,PVS_RRV,0.0111142270962791,0.0664092904511348,-0.0290456431535269,0.0036831357143591,0.0319254787582121,0.0319254787582121,9674000.0,10726666.666666666,10726666.666666666,0.0147050923280538,-0.0183825863576204,0.1869563710711439,92.3080853237962,1129.1888888888889,,,20325.32222222222,19830.62857142857,19271.42222222222,19271.42222222222,19271.42222222222,19271.42222222222,20400.611111111113,20083.352380952383,19820.117037037035,19820.117037037035,19820.117037037035,19820.117037037035,19869.31202774678,19161.935771168373,18394.43053942436,767.5052317440131,447.3483471912137,320.15688455279945,100.0,100.0,100.0,0.0,0.0,0.0,19271.42222222222,21685.019011018743,16857.825433425696,72780000.0,100.0,225.90000000000143,677.5666666666693,3237.0,98.36850880403392,98.36850880403392,1.0340937490041244,0.9669421487603306,-7.691914676203821,0.3453395284491289
2018-01-10,21680.4,20701.7,22132.0,20701.7,10170000.0,5.49,PVS_RRV,0.0549456966016583,0.1034517859505899,-0.0290456431535269,0.019518618398504,0.0318102351802844,0.0318102351802844,9364000.0,10671000.0,10671000.0,0.0218146335808169,0.0,0.2521745157154242,91.30568711254864,1174.35,,,20852.300000000003,20207.028571428575,19512.32,19512.32,19512.32,19512.32,21078.15,20545.795238095237,20158.350303030304,20158.350303030304,20158.350303030304,20158.350303030304,20386.765734104843,19549.39180637324,18637.835684652186,911.5561217210524,540.1899020971815,371.36621962387096,100.0,100.0,100.0,0.0,0.0,0.0,19512.32,22250.831798462987,16773.808201537013,82950000.0,100.0,1129.2000000000007,1580.9333333333343,2634.800000000003,146.63888642117914,146.63888642117914,1.0786554867127487,0.9669421487603306,-8.694312887451359,0.419506089421362
2018-01-11,21228.7,21830.9,21830.9,20927.6,8119999.999999999,-2.08,PVS_RRV,-0.0208344864485895,0.0681841434798873,-0.0290456431535269,0.0269813129575908,0.0334103604787128,0.0334103604787128,8809333.333333332,10439090.909090908,10439090.909090908,0.0275847537206437,-0.0413771305809656,0.2260861027364822,82.60944900080861,1149.7090909090912,,,21153.433333333334,20486.64285714286,19668.354545454546,19668.354545454546,19668.354545454546,19668.354545454546,21266.35,20801.213095238098,20336.74191919192,20336.74191919192,20336.74191919192,20336.74191919192,20627.31838150346,19807.746913085048,18829.751559863136,977.9953532219116,627.7509923221276,350.24436089978394,74.11957074203607,82.51060645896268,83.74220041425049,0.0,0.0,0.0,19668.354545454546,22464.91680576594,16871.79228514315,74830000.0,90.43442089371736,-451.7000000000007,903.4000000000016,1957.2999999999993,117.99509799307113,117.99509799307113,1.0444470684319542,0.9669421487603306,-17.39055099919139,0.4904546360868789
2018-01-12,20551.2,21454.5,21830.9,20475.9,12690000.0,-3.19,PVS_RRV,-0.0319143423761228,0.0224748915394106,-0.0290456431535269,0.033914929330148,0.0354942878109204,0.0354942878109204,9334000.0,10626666.666666666,10626666.666666666,0.0596471602694073,-0.0456128085017128,0.1869563710711439,69.5660544453429,1166.8166666666668,,,21153.433333333334,20615.7,19741.925,19741.925,19741.925,19741.925,20965.233333333337,20817.352380952383,20369.73547008547,20369.73547008547,20369.73547008547,20369.73547008547,20605.57027250247,19922.12431107196,18957.266259132535,964.8580519394272,695.1724042455875,269.68564769383977,48.02204360799029,62.98440871992876,65.35393964346042,0.0,0.0,0.0,19741.925,22456.623439286144,17027.226560713854,62140000.0,78.85437904552207,-677.5,0.0,903.4000000000016,83.92747924055628,83.92747924055628,1.0,0.9669421487603306,-30.433945554657104,0.5473005669213604
2018-01-13,20777.033333333333,21153.4,21705.433333333334,20450.8,10603333.333333334,-1.0266666666666664,PVS_RRV,0.0109888149272709,0.0222251742081707,-0.0290456431535269,0.0339035898693242,0.0338765857004691,0.0338765857004691,9606666.666666668,10624871.794871796,10624871.794871796,0.0438889256573412,-0.0332145187062128,0.1999996149595899,73.91385263049811,1173.5717948717952,,,20852.31111111111,20744.757142857143,19821.548717948717,19821.548717948717,19821.548717948717,19821.548717948717,20777.033333333336,20857.68571428571,20427.920879120884,20427.920879120884,20427.920879120884,20427.920879120884,20654.559718454148,20053.64877603525,19092.063820184445,961.5849558508052,748.454914566631,213.13004128417424,55.35742182242141,66.14095406702958,68.0520856615266,0.1411247906537307,0.08527610225695,0.0778774264750392,19821.548717948717,22483.339846273066,17159.75758962437,72743333.33333333,80.90036200286423,225.83333333333212,-903.3666666666686,903.4000000000016,74.05715142776295,78.06594734388125,0.9583325645898292,1.19999961495959,-26.086147369501887,0.5933928808942612
2018-01-14,21002.86666666667,20852.3,21579.966666666667,20425.7,8516666.666666666,1.1366666666666672,PVS_RRV,0.0108693733946618,0.0219776298545422,-0.0290456431535269,0.0338924727507182,0.0324633523043531,0.0324633523043531,10020000.0,10474285.714285716,10474285.714285716,0.0276756041299999,-0.0204581748775913,0.2130428588480362,78.2616508156534,1172.1928571428575,,,20777.033333333336,20873.81428571429,19905.928571428572,19905.928571428572,19905.928571428572,19905.928571428572,20852.31111111111,20922.213095238098,20504.58031746032,20504.58031746032,20504.58031746032,20504.58031746032,20754.07598937201,20199.682297670857,19233.60477177572,966.0775258951326,791.9794368323314,174.09808906280114,62.72251082141573,69.2408838773489,70.68618328385125,0.2828211848606896,0.1690226993831261,0.1539062042124609,19905.928571428572,22540.096295369294,17271.76084748785,81260000.0,82.27919405175453,225.83333333333576,-225.83333333333212,903.4000000000016,63.10109017891844,73.65959065332484,0.9893618858746258,1.2130428588480362,-21.738349184346603,0.631336047354969
2018-01-15,21228.7,20551.2,21454.5,20400.6,6430000.0,3.3,PVS_RRV,0.0107525004523192,-0.0208344864485895,-0.0290456431535269,0.0207726125909452,0.031214871216089,0.031214871216089,9272000.0,10204666.666666666,10204666.666666666,0.0109871929619681,-0.0073280392385847,0.2260861027364822,82.60944900080861,1182.9428571428575,,,21002.86666666667,21002.87142857143,20185.535714285714,19994.113333333335,19994.113333333335,19994.113333333335,21078.14444444445,21010.934523809523,20680.94984126984,20595.09527777778,20595.09527777778,20595.09527777778,20889.682849551435,20357.9927134138,19381.38960349604,976.60310991776,828.9041714494172,147.6989384683427,69.7169955644842,72.2440783999526,73.23267481824674,0.4173875516165724,0.2501559305094537,0.2274063802264078,19994.113333333335,22622.76343023412,17365.463236432548,87690000.0,83.19616272607155,225.83333333333212,677.5,903.4000000000016,55.66809855626115,70.01921324746515,1.0329664447818132,1.1146249002394255,-17.39055099919139,0.663129893259029
2018-01-16,21002.9,21228.7,21454.5,20701.7,6190000.0,-1.06,PVS_RRV,-0.0106365439240273,-0.0106365439240273,-0.0290456431535269,0.0191468888337825,0.0308046870315581,0.0308046870315581,8886000.0,9953750.0,9953750.0,0.0212730878480546,-0.0248248832947848,0.2130447840500862,78.26229255708293,1172.1857142857143,,,21078.155555555557,21067.4,20449.01428571428,20057.1625,20057.1625,20057.1625,21078.161111111112,21010.94166666667,20789.931746031747,20643.07230392157,20643.07230392157,20643.07230392157,20922.030606822453,20457.209219042445,19501.501484718552,955.7077343238924,854.2648840243123,101.4428502995802,55.21493887318214,64.77135119557906,66.56185675160009,0.2756159703655711,0.0482754000099511,0.0348644866316429,20057.1625,22646.286008934738,17468.038991065263,81500000.0,83.99441531526105,-225.79999999999927,225.8666666666686,451.7000000000007,49.37390687181542,67.2772541949162,1.0108709777302185,1.0898481687889827,-21.73770744291707,0.6854199147481754
2018-01-17,20701.7,20927.6,21755.7,20626.5,11380000.0,-1.43,PVS_RRV,-0.0143408767360697,0.0073231733426759,-0.0290456431535269,0.0128613476477187,0.0305566639744796,0.0305566639744796,8624000.0,10037647.05882353,10037647.05882353,0.0503641124639232,-0.0143876985416387,0.1956486583266914,56.81722118229578,1102.2857142857144,,,20977.766666666663,20927.585714285717,20567.307142857146,20095.076470588236,20095.076470588236,20095.076470588236,20889.933333333334,20919.516666666663,20823.623174603177,20649.58649237473,20649.58649237473,20649.58649237473,20859.07900487318,20494.82318534361,19590.405078443106,904.4181069005026,864.2955285995504,40.12257830095223,39.76694138194076,55.690263978954306,58.377267337186055,0.0,0.0,0.0,20095.076470588236,22621.40501489085,17568.74792628562,70120000.0,74.94909574204672,-301.2000000000007,-301.1666666666679,-978.7000000000008,38.860402536824026,62.05576611595188,0.9856606875886784,1.0536395932369018,-43.18277881770422,0.6956421983821182
2018-01-18,21454.5,20626.5,21454.5,20475.9,8760000.0,3.64,PVS_RRV,0.0363641633295817,0.0326065158484287,-0.0290456431535269,0.0203531015939272,0.0301873705725069,0.0301873705725069,8255333.333333333,9966666.666666666,9966666.666666666,0.0,-0.0073012871791141,0.2391274214228782,79.54531731175653,1113.0357142857142,,,21053.033333333336,20959.842857142856,20723.242857142857,20170.6,20170.6,20170.6,21128.3,21051.24523809524,20941.915555555555,20734.314230019492,20734.314230019492,20734.314230019492,21029.199289195127,20642.46577221382,19728.486183743615,913.9795884702072,874.2323405736818,39.74724789652532,69.56339166997067,68.66629658528936,69.27314336420571,0.9948713316651344,0.2928483392492308,0.2617770465790227,20170.6,22703.89395077747,17637.306049222523,78880000.0,74.96299443736257,752.7999999999993,225.79999999999927,225.79999999999927,47.429799221991374,65.09336139423783,1.0106365439240272,1.0795459310409603,-20.45468268824346,0.7039341827900669
2018-01-19,21228.7,21454.5,21680.4,21153.4,7640000.0,-1.05,PVS_RRV,-0.0105245985690647,0.0107525004523192,-0.0290456431535269,0.021450831185919,0.0298109567011604,0.0298109567011604,8080000.0,9844210.52631579,9844210.52631579,0.0210538581649537,-0.0140343517676943,0.2260861027364822,71.20099471821632,1053.892857142857,,,21128.3,21056.62857142857,20836.164285714283,20226.28947368421,20226.28947368421,20226.28947368421,21216.133333333335,21118.459523809524,21009.30984126984,20783.752807017547,20783.752807017547,20783.752807017547,21086.19949228223,20732.655653411697,19839.61313309594,893.0425203157574,877.9943765220969,15.048143793660527,57.59840014919975,62.20845785742119,63.51843175290964,0.5953731722345984,0.1471052293196003,0.1235181855399115,20226.28947368421,22735.621306057972,17716.957641310448,71240000.0,74.33838062210204,-225.79999999999927,225.79999999999927,677.5,96.1571867541552,75.64469562472817,1.010750896304796,1.056182253592135,-28.79900528178368,0.7065880947775938
