Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-12-15,16.800892,21.840435,36.381817,64.97353,27.48727,77.24597,27.688108,30.628002,10.820498,26.381023,37.72879,40.136555,13.096474,9.94519,67.78107,14.915666,23.772232,37.19716,42.20296,59.191166
2023-12-16,16.67708,21.743446,35.986824,63.674297,27.075846,78.80435,27.97068,30.221336,11.016012,26.085953,37.151978,41.181473,13.24148,9.892233,63.440525,14.907413,23.531425,36.771244,44.087902,58.5979
2023-12-17,16.681084,21.648975,34.37901,63.346176,27.515837,81.31838,28.522455,30.4076,11.039512,26.052824,36.938873,40.73354,13.235024,10.0314865,63.46633,14.795699,23.553911,36.74355,44.01378,58.663914
2023-12-18,17.107533,21.68222,34.3749,63.336327,27.511103,81.905754,28.655996,30.421904,11.067767,26.029411,36.34774,42.04246,13.229781,10.018191,63.511555,14.751407,23.000788,36.762836,43.605152,58.763535
2023-12-19,17.09249,21.653606,35.97404,62.37051,27.85489,81.28565,29.227654,30.214033,11.214479,27.37491,37.257153,42.45821,13.228183,10.101885,62.63303,14.569207,23.92722,36.81204,43.677727,61.28242
2023-12-20,17.232841,22.342304,35.67479,63.64925,27.23993,82.33615,29.245766,30.550781,11.139829,28.228745,36.042458,43.377953,13.295528,9.986792,64.53599,14.970739,24.013426,36.87981,43.10211,60.860332
2023-12-21,16.498655,22.398085,35.888836,63.327484,27.431147,82.550766,29.562645,30.769474,11.062631,28.216692,35.612225,43.045353,13.235925,10.071124,59.544533,14.120617,23.563835,37.305744,43.284935,61.72038
2023-12-22,16.42724,22.073109,34.161636,64.29135,27.342974,81.894585,29.290602,30.507479,11.420349,28.463413,35.95557,42.834194,13.654382,10.063809,59.78633,14.836966,24.29357,36.83377,42.759407,61.410088
2023-12-23,17.535254,21.272127,35.54009,64.271034,27.656752,82.035614,29.305048,30.852575,11.297055,28.321014,36.01869,43.316624,13.811206,9.95406,60.329437,14.707824,25.067553,37.296432,41.09524,61.84045
2023-12-24,17.452738,21.242815,35.627277,64.22765,28.101114,82.159836,29.33043,30.759018,11.612261,28.382761,36.607216,43.821182,13.828597,9.891601,60.274372,14.57343,24.286636,37.45237,42.34502,61.026543
2023-12-25,17.795374,21.53506,34.707867,66.41568,27.71317,81.8554,29.375679,30.846745,11.565843,28.84012,36.64129,43.535023,13.844662,9.881714,65.60452,15.014437,23.770466,37.647705,42.354584,60.907505
2023-12-26,17.665438,21.30442,35.217957,68.03477,27.469826,82.352486,28.692095,30.316349,11.4922905,28.703405,36.67478,43.251896,13.721885,9.873006,66.231514,14.786675,23.652035,37.742264,42.40327,60.817314
2023-12-27,17.345444,21.351055,36.23364,68.654686,27.776134,81.26481,28.149364,30.352884,10.582206,28.70467,36.332047,43.37702,13.94166,10.016767,66.204796,14.349112,24.068243,38.154568,43.04675,59.121155
2023-12-28,17.142784,21.637234,36.292194,67.95214,28.064816,81.73242,28.150307,30.385057,11.455248,28.434536,36.807686,43.487415,13.95347,9.87222,66.8355,14.364018,24.937366,38.363663,42.826042,58.942905
2023-12-29,17.33546,21.699091,36.3833,68.544235,27.799728,82.64343,28.432253,30.72895,10.524382,27.61441,36.9504,43.114143,13.152792,9.999469,66.1455,14.523868,24.374788,38.39458,44.184822,60.868233
2023-12-30,16.961588,21.703896,36.172825,68.32453,27.418491,82.6135,27.697699,30.442354,10.410827,27.928461,37.01992,41.83275,13.298346,9.971021,66.762474,14.508755,23.818478,38.03803,45.490047,60.77644
2023-12-31,16.870888,21.166298,36.28207,68.09281,27.730726,82.51528,28.199219,29.242462,10.633484,27.84341,36.81882,41.829857,13.308738,9.846469,66.72708,14.465487,24.083673,37.089264,45.797146,59.466263
2024-01-01,16.766851,21.153866,36.2958,64.8475,27.764887,82.06097,27.868147,29.24772,11.2950325,27.891243,36.797504,42.26179,13.317594,9.835976,66.70039,14.418467,25.772352,36.71554,43.95207,59.362133
2024-01-02,16.4739,21.244995,36.29951,64.67316,27.780928,81.96323,27.8023,29.533955,10.976847,29.336409,36.96669,41.012558,14.077329,9.774392,66.35893,14.296379,26.585787,36.52497,44.381786,58.642426
2024-01-03,16.510109,20.905947,36.346344,63.97118,27.887491,80.93769,27.86631,28.632826,10.887653,28.991323,36.67258,42.525986,13.947783,9.709215,65.70499,14.096435,26.773647,36.672142,44.591057,59.75013
2024-01-04,16.53079,21.168104,36.403835,64.660545,28.103407,81.514404,28.20011,28.8978,10.64375,28.796148,37.03974,44.770103,13.34768,9.742986,66.366066,14.053132,26.964474,37.03634,45.600563,56.836384
2024-01-05,16.647873,20.908907,38.070724,65.42471,27.368507,80.14171,28.000961,28.668705,10.49256,28.569698,36.32948,42.34928,13.422135,9.741836,65.7655,13.956619,26.738272,36.686085,44.330853,56.314777
2024-01-06,16.566004,21.088667,38.102406,64.92845,27.283438,80.35675,27.46195,28.94619,10.603814,28.580566,35.918446,41.954174,13.294681,9.739922,65.24116,14.119716,27.195816,37.09722,44.655907,56.93108
2024-01-07,16.404829,20.63787,38.764706,65.11606,26.934752,79.9585,27.909847,28.92362,10.603045,28.031595,35.186302,44.41928,13.301186,9.731163,65.79782,14.043917,27.161957,37.538456,43.704205,55.264572
2024-01-08,16.105522,20.316628,36.208035,67.74024,26.262299,79.0572,27.380306,29.49523,10.626483,27.945396,34.2763,44.470573,13.440629,9.725863,65.827354,13.67345,27.513805,37.595516,43.020992,55.406815
2024-01-09,16.02737,20.721594,35.601326,67.95491,26.030807,77.789444,27.690338,29.474527,10.699632,27.83474,34.83659,44.276844,13.243189,9.620328,65.856476,13.608834,27.72488,37.149372,43.07067,55.49459
2024-01-10,15.769753,20.065092,38.81032,68.843864,25.19765,76.78361,26.631063,29.162294,10.661184,27.332201,33.93421,44.066,13.450802,9.786773,65.5666,12.766128,27.679958,37.206352,44.872696,54.94806
2024-01-11,15.671208,20.671549,38.78261,69.700356,24.720352,73.696304,26.108917,29.147924,10.625789,27.37373,32.298775,43.998302,14.001855,9.766214,65.57473,12.249476,27.790613,36.847054,43.690216,55.07977
2024-01-12,15.76701,20.899254,38.10769,65.42489,24.801565,72.6126,26.383898,28.693602,10.682207,27.669523,32.2404,44.359287,13.851894,9.541581,66.251656,12.440518,28.052938,37.198956,43.611317,55.681484
2024-01-13,15.696317,19.496084,37.075943,63.759766,24.571127,71.88869,26.061705,29.12244,10.829035,26.951435,31.691055,44.343132,13.90456,9.5462,65.63414,12.229733,27.956102,36.776096,44.253628,55.851967
2024-01-14,15.711535,21.674326,36.653103,63.85658,24.459278,71.72227,25.990303,29.107203,10.861769,26.507368,31.415571,44.104954,13.349574,9.581865,65.69605,12.052756,28.089483,36.882935,42.97404,55.9631
2024-01-15,15.284135,19.919338,38.316883,64.120605,24.487736,71.67406,26.84591,29.10337,10.653574,25.849148,30.938938,44.099693,13.341335,9.648658,63.893936,11.985708,28.195133,36.84424,42.70219,55.998077
2024-01-16,15.447867,20.267582,37.49355,66.313385,23.637535,69.89509,26.580843,29.401402,10.763136,25.368525,30.817165,44.369358,13.336436,9.84624,65.35841,11.653058,28.403484,36.617844,45.351357,55.40544
2024-01-17,15.2909155,19.803171,37.44443,63.026993,24.295437,69.315155,26.534733,29.109842,10.869245,24.815222,31.10688,43.943462,13.328236,9.927428,61.812546,11.737644,28.641853,36.896034,48.41783,59.953022
2024-01-18,15.425252,19.626646,37.4412,63.290127,24.16903,68.3017,28.022541,29.404327,10.977073,24.29994,30.773893,43.270622,13.318366,9.783722,60.891697,11.237835,28.847626,39.932117,49.122383,59.338696
2024-01-19,15.235244,19.56081,37.483654,67.49465,24.323706,69.02973,27.890959,31.530207,11.005755,24.344006,30.984886,45.80307,13.979984,9.908679,63.24534,11.801486,28.468374,39.67637,48.771923,61.373966
2024-01-20,15.184507,19.085909,36.698765,63.51136,24.611494,68.291794,27.164034,32.026524,11.212348,23.795713,30.612602,46.557335,13.890188,9.841628,62.54345,11.897022,28.787506,36.798775,48.049053,60.652637
2024-01-21,15.118679,19.650923,36.766975,63.83087,24.147726,69.7616,27.139996,32.033592,11.272016,23.485996,30.565796,46.536507,13.887972,9.29719,64.27547,12.133354,28.805431,36.85573,47.796947,61.497086
2024-01-22,15.06607,19.790136,36.72181,64.15762,24.173777,70.358505,27.306171,32.036766,11.341777,23.336134,31.03479,46.51129,13.938369,9.525324,64.66356,12.702029,28.80558,39.357807,47.584827,61.467716
2024-01-23,15.218479,20.627748,36.757175,65.134605,24.717293,71.772514,28.070415,32.3576,11.397203,23.550184,31.41611,43.11868,14.061049,9.353821,65.582886,12.747716,28.549162,36.52288,49.933887,62.67193
2024-01-24,15.415173,19.265142,37.257656,67.20806,24.172644,72.159225,27.978403,32.8413,11.2116165,23.452583,30.926985,43.516747,13.994953,10.061597,65.11931,12.659989,28.855413,36.794743,49.113693,61.97508
2024-01-25,15.461591,19.877798,37.015347,66.96746,24.402752,72.13316,28.31819,34.188297,11.318545,23.280872,31.391882,44.354897,14.142306,10.05648,65.89952,12.919213,28.544395,36.354603,47.264526,62.813236
2024-01-26,15.941828,19.628235,36.18853,68.39856,24.41895,73.39366,27.934492,33.842148,11.393218,23.363739,31.531265,42.825287,13.941299,9.838168,65.37508,13.076572,28.824108,40.141106,47.709225,62.699562
2024-01-27,16.064613,19.831274,34.91784,67.75437,24.125694,73.75354,27.970467,34.17316,11.648166,23.695057,31.256865,43.8592,14.055677,9.890356,66.11497,12.983656,28.63718,39.78209,46.815147,62.527573
2024-01-28,15.9995575,20.247019,34.592556,68.018456,24.086018,73.49073,27.740965,34.17056,11.6893835,23.648886,31.365437,43.64809,13.752423,9.908691,66.12918,12.971763,29.168444,39.455616,46.447674,62.307503
2024-01-29,16.46007,19.035282,34.331936,68.16237,24.03197,73.44138,26.948467,33.830704,11.005491,23.692533,31.534489,43.52186,13.651689,9.908272,66.14166,12.904161,29.242924,35.507362,46.232323,61.982826
2024-01-30,16.456966,18.82589,34.36936,68.56476,24.211737,73.07748,27.5279,33.49287,10.98291,23.520306,32.10395,45.929253,13.659396,9.994382,66.48535,12.705114,29.607218,36.95799,45.71453,62.1196
2024-01-31,16.653301,19.893505,34.689323,69.34047,24.086529,73.92394,27.569426,32.191257,10.927126,23.595259,31.978516,46.815548,13.2595005,9.963222,66.17813,12.674146,29.598913,37.72327,46.317375,61.585243
2024-02-01,16.4896,20.046589,35.52016,68.92163,24.115536,73.422966,28.190512,33.35543,11.251379,23.41534,31.973516,46.75169,13.432912,9.581172,64.25154,12.509251,29.161316,37.141148,46.34905,61.051376
2024-02-02,16.498997,19.613516,36.95175,69.111465,24.600765,72.13858,28.644505,31.435896,11.747305,23.289547,32.224556,46.440147,13.579622,9.676371,65.24092,12.69916,27.97007,39.99157,49.196144,61.55306
2024-02-03,16.684622,19.794125,34.931038,69.99431,24.540157,72.3306,28.405994,33.509815,12.017467,23.440918,32.306236,45.866837,13.551266,9.574378,66.62709,12.208368,27.72142,39.598866,51.58285,61.534145
2024-02-04,16.718521,19.781736,32.99437,70.3146,24.626257,70.9753,29.61812,33.311016,12.181206,22.702026,32.286407,45.806416,13.411743,9.297597,66.3257,12.170463,28.030933,39.59151,52.203457,61.114014
2024-02-05,16.75239,19.469673,31.981775,70.828606,25.197937,71.575386,28.547983,33.26857,12.118699,22.668592,32.234116,45.79862,13.362997,9.573573,66.337,12.143812,27.220434,39.555813,52.479267,62.19295
2024-02-06,16.783915,20.54498,33.070305,70.811646,24.966661,72.403625,28.35776,33.370308,12.403061,22.7695,32.11446,45.83967,13.266191,9.587603,64.367485,12.25988,27.579275,39.73341,51.622154,61.65012
2024-02-07,16.656548,20.272703,34.185017,71.6445,24.901587,73.88642,28.626057,33.794266,12.358828,22.870382,32.102196,46.13023,13.480314,9.461218,65.06838,12.140558,27.414883,40.36397,51.37511,60.632526
2024-02-08,16.453684,20.7227,34.357693,73.2547,25.072813,74.87369,28.16912,33.538696,12.349822,23.251448,32.586235,46.22122,13.885806,9.091034,66.404434,12.248654,27.735271,40.00798,51.611492,60.56589
2024-02-09,16.175806,20.676285,34.630142,74.06164,24.488274,76.30088,28.242811,32.54414,12.6149645,23.753378,32.777504,46.276505,14.330932,9.085853,66.36212,12.229695,27.684534,40.24448,50.014942,60.69333
2024-02-10,16.206953,20.607374,34.72174,74.79606,23.568277,77.7083,28.284956,32.556885,12.8546915,24.069952,32.785046,46.38043,14.129118,9.083804,66.31507,12.207023,27.626652,40.48527,49.479275,60.88362
2024-02-11,16.23355,20.846333,34.98531,75.843124,23.433418,79.02561,28.340502,32.10631,12.97952,24.369698,32.774117,46.56353,14.283582,9.10344,67.2671,12.182332,27.567194,40.538322,48.530502,60.46989
2024-02-12,16.25583,21.105268,34.96595,75.40895,23.38371,81.268845,28.806843,32.129852,13.398434,24.715109,32.808067,46.693478,14.30264,9.38141,67.22362,12.219926,27.46588,40.571163,47.648262,60.64712
2024-02-13,16.269176,21.23315,34.93425,76.272,23.619911,82.57382,28.539173,32.45496,13.481472,25.136915,33.175392,46.909008,14.254579,9.463058,63.554676,12.338227,27.25469,40.598915,46.94602,61.73577
2024-02-14,16.277555,19.047846,34.896236,78.430695,23.34816,83.375114,28.56747,32.440166,13.475389,25.673159,33.067127,47.877087,14.247408,9.899108,66.47528,12.195228,27.110638,40.62676,46.329628,63.10048
2024-02-15,16.113146,18.480589,35.098755,78.76714,23.432116,83.736984,28.445086,32.416836,13.059376,26.523445,32.994144,45.04555,14.298338,9.970204,66.114395,12.273792,27.34766,38.139202,45.96025,63.543575
2024-02-16,15.926515,19.351385,35.208794,78.4039,23.343487,82.31013,28.19283,32.066902,12.503591,27.35506,32.456486,47.17414,13.643303,9.982993,64.08125,12.412191,28.726889,38.601215,46.68131,64.58968
2024-02-17,15.364302,18.856058,34.755623,77.10416,24.10781,82.423515,27.140581,32.354675,12.380892,27.420776,32.462166,47.571842,13.584319,10.029789,63.589592,12.604351,29.936234,38.62851,46.861984,63.377796
2024-02-18,15.38839,18.357939,34.88798,76.34234,24.06575,82.58148,25.689377,32.321728,12.652428,27.014114,31.940132,47.60804,13.587418,9.836477,66.959694,12.628081,29.987112,38.59334,47.82264,63.096657
2024-02-19,15.431286,20.817673,35.949768,76.62811,24.431202,82.74703,25.336206,32.2974,13.056936,26.496943,31.823814,47.27054,13.519549,9.663252,65.02954,12.393933,29.855656,38.029037,46.723557,63.772762
2024-02-20,15.488685,20.627226,35.46589,73.65684,24.764244,84.2298,27.374859,32.299267,12.99593,26.674402,30.802841,44.09765,13.127346,9.136052,66.82843,12.408635,29.513596,37.62311,46.211414,63.50061
2024-02-21,15.721761,20.646626,35.048256,74.08869,26.00872,85.872696,27.408737,33.470722,12.480513,24.945503,31.169792,46.36331,13.194034,9.092429,63.722168,13.053963,29.376875,42.770706,46.18573,62.950047
2024-02-22,15.821766,19.368061,35.20454,74.97104,25.63753,85.40208,28.00923,32.978405,12.3790245,24.773739,31.307304,47.69983,13.06512,9.874276,64.45851,13.193961,29.150858,41.893635,46.139442,62.924366
2024-02-23,15.982097,19.503746,35.770397,79.216965,25.841946,84.00027,27.673855,33.8152,13.243665,25.600174,31.191978,48.287926,13.505582,9.647032,64.55082,13.177522,28.98846,38.750107,49.211205,60.374172
