Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-12-15,17.685352,21.765524,37.24172,65.06399,26.916578,81.04781,28.710552,30.500656,11.2805,27.935307,37.13545,41.94333,13.310412,9.971112,64.537125,15.112698,24.49692,35.99894,40.57719,59.19203
2023-12-16,17.550682,21.724773,36.74331,63.584705,26.785728,83.42015,29.034132,30.20058,11.176246,27.743338,36.95951,43.468792,13.439001,9.595617,64.13494,15.197038,23.997355,34.8394,45.296326,58.260735
2023-12-17,17.584044,21.727354,35.05524,63.167107,26.880749,80.461525,26.66602,30.560339,11.137058,27.848345,37.08484,43.46337,13.431206,9.804493,63.074963,15.439446,23.692432,34.998344,45.427135,58.16731
2023-12-18,17.594833,22.197388,35.021286,63.128433,26.838087,79.96303,27.067078,30.769434,11.041268,27.94476,37.019573,43.725536,13.421491,9.833891,62.916325,15.480497,24.011824,35.205597,45.50971,58.303135
2023-12-19,17.588839,22.242798,36.650547,65.43531,27.135326,78.07656,27.709135,30.818146,11.0389185,28.29158,37.23901,43.66188,13.442013,9.943226,62.782146,15.3518095,23.930496,36.36108,46.01926,61.004944
2023-12-20,17.715519,22.954943,36.21455,65.240555,27.25246,84.87456,27.044601,31.355972,10.932163,28.369413,37.83306,44.947823,13.158144,9.848969,59.853992,15.5378,23.905302,36.83847,41.50797,60.683453
2023-12-21,17.353197,23.092964,36.622467,64.95588,27.975025,85.17686,27.242128,31.695421,10.800941,28.592861,37.295113,43.944157,13.261573,9.91913,60.117245,14.824825,23.0904,37.34653,41.60787,61.680317
2023-12-22,17.303976,22.259644,35.429703,65.82934,27.778074,76.86624,27.031012,31.490976,11.223764,29.012312,38.025364,43.780056,13.8256445,9.832015,60.515755,15.55218,24.692926,37.23403,43.301,61.65842
2023-12-23,17.412539,21.971437,35.348656,65.66895,27.99667,77.66009,27.759026,31.930828,11.271045,29.180334,37.903145,44.198025,14.165819,9.781191,61.189175,15.357128,25.280647,37.84592,43.205242,62.240543
2023-12-24,17.315237,22.064178,35.463936,65.507645,28.41684,80.27505,27.337734,31.995817,11.782089,29.086153,38.311428,44.722466,14.2898245,9.791911,61.12212,15.161881,25.106028,37.80857,43.333378,61.351444
2023-12-25,17.201923,22.47946,34.440235,64.98412,28.881132,81.38323,27.524906,32.18376,11.934195,28.810627,38.278423,44.205074,14.422089,9.7417555,61.564407,15.361059,25.466974,37.685024,43.107258,61.48631
2023-12-26,17.583204,22.31209,34.8421,61.9024,28.66503,82.59103,27.983425,31.646152,12.088055,28.006973,38.23491,43.543137,14.398431,9.575829,60.456326,15.11632,24.978308,37.670467,42.836674,61.40576
2023-12-27,17.644762,22.349651,34.02368,69.21595,28.981478,83.79444,26.961685,31.622496,11.290259,28.05038,37.423935,43.579792,14.52341,9.582635,60.398697,14.974599,24.018871,37.84698,42.99766,59.477383
2023-12-28,17.47362,22.50682,35.050842,68.2148,29.310429,83.04035,26.905003,31.500051,10.865052,27.901884,37.948994,43.79474,14.536202,9.962449,64.74321,15.010308,24.991428,37.995815,42.757652,58.921154
