Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-12-15,16.91756,21.321373,35.933346,64.92837,26.84507,81.742805,28.745838,30.61272,11.440766,27.033657,37.321392,40.69697,13.284912,9.624008,67.5319,14.756641,24.137064,36.00044,41.381508,60.678173
2023-12-16,16.806807,21.285208,35.473595,63.741543,26.634663,78.52919,29.069677,30.301495,11.3769865,26.017225,37.067097,41.008205,13.41691,9.248748,63.38083,14.7949705,23.878876,34.835033,42.114635,59.980324
2023-12-17,17.307384,21.272478,33.80564,63.561554,26.280106,78.94288,26.675304,30.642551,11.4033,25.95341,37.14142,42.06037,13.412506,10.125483,63.466312,14.783742,23.849459,34.99943,42.049946,59.9546
2023-12-18,17.379553,21.708004,33.70037,63.82679,26.298199,79.12308,27.120857,30.857187,11.389342,25.852585,36.79723,42.55915,13.433708,9.948613,63.539955,14.866143,23.868385,35.219933,41.809555,59.96517
2023-12-19,17.446661,21.725216,34.280968,63.26897,28.621443,80.50478,27.877495,30.918371,11.505692,27.66909,37.88054,42.800045,13.486718,10.041733,62.651104,14.802509,24.14903,36.372925,42.026585,62.463627
2023-12-20,17.668066,22.743364,33.989273,64.99565,27.569231,81.07498,28.103985,31.400764,11.373053,28.449242,36.743156,43.546234,13.976277,9.94778,64.54536,15.565056,24.278976,36.658943,40.5471,61.95435
2023-12-21,17.363565,22.791199,34.484756,65.01865,27.76494,78.536476,28.491825,31.663013,11.209818,28.315804,36.362274,43.0423,13.996682,9.493104,59.573807,14.707631,23.83025,37.195557,41.96617,62.761898
2023-12-22,17.310852,22.163414,35.585377,66.17451,27.685417,77.34052,28.281097,31.390783,11.422084,28.611113,36.685337,42.72681,14.143839,10.083113,59.84695,15.4628935,24.573189,36.894535,41.723083,62.277077
2023-12-23,17.404533,21.769337,36.144558,66.132416,27.998024,77.63548,28.268562,31.69613,11.169466,28.53711,36.623684,43.115986,14.457527,9.977647,60.414486,15.2704115,25.37578,37.53572,41.323254,62.277897
2023-12-24,17.301977,21.818647,36.192318,65.978,28.478859,82.57367,27.692608,31.51461,11.347834,28.841604,37.117092,43.56133,14.636414,9.927408,60.356716,15.067364,24.617556,37.683655,40.463745,61.015713
2023-12-25,17.176691,22.20453,35.15966,65.397194,28.959332,82.04206,27.676437,31.470814,11.217932,26.15219,37.060364,43.161373,14.801199,9.934634,65.63152,15.227757,24.738174,37.74188,43.543736,60.980263
2023-12-26,17.605364,22.032282,35.544632,62.146603,28.710506,84.53837,27.932182,30.78355,11.855915,25.941587,37.00849,42.711666,14.77132,9.944955,66.14218,14.939594,24.607397,37.767616,43.419724,60.957443
2023-12-27,17.648518,22.063484,35.578598,67.89531,28.997482,83.456985,26.731518,30.703812,10.539196,26.930185,36.573483,42.68299,14.879927,9.476065,65.98999,14.471129,24.847431,38.177643,45.02894,59.167408
2023-12-28,17.336933,22.294575,35.630997,68.443245,29.262966,83.96153,26.69035,30.612747,11.389781,26.228569,36.89996,42.694534,14.839545,10.012937,66.52993,14.439786,24.19102,38.399284,45.403374,58.76622
2023-12-29,17.412588,21.93473,35.749752,68.610565,28.956419,85.89177,28.543081,30.835726,10.656554,26.346457,36.906006,42.433758,14.452569,10.062345,65.803856,14.518725,23.863598,38.451584,43.45417,60.375538
2023-12-30,16.999592,22.210173,35.634262,68.23345,28.555601,85.84403,28.86874,30.479483,10.865327,26.911377,36.948956,41.348763,14.419433,10.041004,66.45897,14.464679,23.033163,38.103497,43.634083,60.121025
2023-12-31,16.89148,21.272102,35.866142,68.043205,28.892105,86.08478,28.743767,29.280113,11.0219,27.954533,36.82454,41.487923,14.221916,10.079338,66.517,14.442555,23.060562,37.17294,43.457634,58.67375
2024-01-01,16.81342,21.18743,36.057026,64.96254,28.925583,80.6859,29.050394,29.342001,10.891709,29.646154,36.88965,42.268494,13.994185,10.068417,66.65145,14.469311,24.520657,36.803165,41.80681,58.497356
2024-01-02,16.586876,21.214685,36.20631,64.98445,28.929554,79.26075,28.812395,29.737715,11.089002,30.76038,37.12865,41.374985,13.583191,10.002671,66.47529,14.468541,25.300795,36.620583,42.134655,58.381485
