Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-12-15,17.583351,20.47734,36.381817,65.97972,26.681492,78.07355,26.87644,31.253063,11.438824,27.330767,36.26018,43.096073,13.367841,9.657513,63.860664,14.406386,24.628056,37.572887,45.75856,59.191166
2023-12-16,17.630072,20.386404,36.350327,65.96664,26.544947,78.07923,26.88191,31.306124,11.469063,27.298052,36.06288,43.32475,13.375232,9.653879,63.772045,14.398415,24.624828,37.51785,45.67968,59.189796
2023-12-17,17.634304,20.29783,36.34356,65.95648,26.447365,78.15304,26.874712,31.34158,11.493528,27.263386,35.85602,43.499535,13.368711,9.645101,63.797985,14.361968,24.64836,37.489594,45.602882,59.256477
2023-12-18,17.632996,20.22935,36.339214,65.94623,26.442814,78.32591,26.867533,31.356321,11.522946,27.238884,35.638603,43.774906,13.363415,9.632318,63.843445,14.3189745,24.6867,37.50927,45.406532,59.357105
2023-12-19,17.617489,20.202652,36.337414,65.9397,26.515972,78.51024,26.871405,31.298557,11.558935,27.25649,35.455856,44.20779,13.3618,9.616621,63.90473,14.283537,24.788624,37.55947,45.250168,59.497498
2023-12-20,17.584532,20.238062,36.21622,65.94069,26.576916,78.7375,26.888058,31.330921,11.597971,27.264906,35.339275,44.490208,13.36234,9.602127,63.93075,14.246939,24.877934,37.62862,45.10488,59.684547
2023-12-21,17.529097,20.288586,35.888836,65.93702,26.630325,78.942726,26.910288,31.397423,11.635125,27.253262,35.266613,44.595028,13.36962,9.587339,63.90248,14.268957,24.910364,37.682568,44.84324,59.9227
2023-12-22,17.453224,20.29567,35.75263,65.93984,26.677452,79.09838,26.92928,31.444525,11.653418,27.219364,35.254086,44.599266,13.386649,9.580375,63.841164,14.265137,24.916481,37.7705,44.521393,60.223682
2023-12-23,17.37775,20.245693,35.736637,65.91901,26.716429,79.2346,26.94256,31.48222,11.644048,27.354023,35.31597,44.65056,13.406335,9.570657,63.776894,14.282382,24.961466,37.862476,44.32909,60.64573
2023-12-24,17.295977,20.217794,35.824314,65.87451,26.740524,79.354576,26.965893,31.544476,11.620326,27.413662,35.357304,44.72342,13.423216,9.558156,63.71868,14.293394,25.034542,38.020782,44.31261,61.068924
2023-12-25,17.194649,20.19003,35.979195,65.79281,26.766932,79.45583,27.007498,31.634441,11.573874,27.443748,35.39021,44.87568,13.43881,9.548603,63.681343,14.297017,25.130745,38.219078,44.322617,60.949802
2023-12-26,17.069098,20.173532,36.146496,65.711784,26.797216,79.54065,27.0398,31.721766,11.442482,27.450222,35.422558,45.034176,13.452828,9.540189,63.654987,14.29029,25.25812,38.31507,44.373566,60.859554
2023-12-27,16.927505,20.217693,36.25924,65.65401,26.827747,79.67138,27.054302,31.759993,11.243129,27.451431,35.442444,45.16446,13.465636,9.535591,63.62931,14.283437,25.445562,38.3463,44.596474,60.93708
2023-12-28,16.813377,20.28582,36.317833,65.63199,26.83819,79.73117,27.055206,31.793657,11.068548,27.465023,35.550926,45.279408,13.477044,9.539429,63.599487,14.298275,25.705313,38.3675,44.590775,61.058647
2023-12-29,16.75026,20.343815,36.409004,65.54838,26.850536,79.821655,27.055628,31.831959,10.902152,27.497793,35.68877,45.344193,13.487283,9.566721,63.57232,14.31425,26.029951,38.398422,44.20814,61.174103
2023-12-30,16.635662,20.348322,36.560368,65.33827,26.880875,79.79275,27.01951,31.85361,10.78452,27.535166,35.755913,45.35716,13.500174,9.539504,63.52999,14.2993555,26.357662,38.422253,43.936836,61.08185
2023-12-31,16.540087,20.34239,36.67078,65.119896,26.91781,79.69788,27.102217,31.863008,10.687986,27.58721,35.739487,45.354023,13.510723,9.514078,63.49631,14.256711,26.65113,38.42451,43.579754,60.984783
2024-01-01,16.43809,20.330442,36.684658,64.89332,26.950968,79.65537,27.185783,31.868736,10.590093,27.634604,35.7188,45.364124,13.519713,9.503939,63.470913,14.210371,26.980894,38.421555,43.333126,60.877995
2024-01-02,16.314022,20.316444,36.688408,64.71885,26.96654,79.5605,27.257156,31.858816,10.501801,27.639612,35.704502,45.384727,13.529363,9.491656,63.46172,14.160495,27.267473,38.4142,43.323555,60.139904
2024-01-03,16.186382,20.293097,36.73574,64.65654,26.935303,79.35068,27.319912,31.842009,10.416468,27.587633,35.597538,45.41955,13.538909,9.475271,63.464684,14.102075,27.462894,38.37614,43.283886,59.756104
