Date,PVC,VIC,PVB,VNM,FPT,HAG,CTS,PVS,CTG,KDH,NVB,POT,NLG,MSN,MWG,PVD,CMG,VCB,PDR,ITD
2023-10-25,14.444527,44.348885,20.169281,64.482475,79.93734,14.22074,28.529459,35.845875,32.48586,27.896383,11.240833,17.700483,38.77009,67.4544,44.672318,27.415709,35.338264,61.076687,25.282383,9.814895
2023-10-26,14.413573,44.010914,20.31341,64.456375,79.38183,14.4530115,28.239996,35.959908,32.34758,27.788668,11.220123,17.697351,38.614433,67.292,44.60771,27.542282,35.027676,60.845856,25.152462,9.800429
2023-10-27,14.345638,44.946095,20.385883,64.481834,79.41676,14.353025,28.69372,35.734768,32.095127,27.773636,11.133588,17.338894,38.238953,66.82918,43.853764,27.234951,34.877808,60.528385,25.116787,9.710189
2023-10-28,14.401973,44.96116,20.309202,64.11944,80.24366,14.447011,28.928825,35.809856,32.068336,27.79177,11.177751,16.920536,38.06551,67.22511,43.84624,27.22082,35.154552,60.505753,25.081003,9.673105
2023-10-29,14.470317,44.70981,20.255241,64.06695,80.98918,14.520262,29.066006,35.89068,32.17692,27.851513,11.132415,16.768177,38.539406,66.99503,44.15587,27.221708,35.468094,60.834755,25.475079,9.664701
2023-10-30,14.537808,44.5383,20.29161,64.04039,81.644196,14.563772,29.214537,36.08015,32.29904,27.92059,11.123343,16.711607,38.714012,66.80995,44.410007,27.298092,35.657963,60.91352,25.663084,9.657645
2023-10-31,14.608048,44.492634,20.345486,64.05428,82.2145,14.606839,29.371847,36.231224,32.42513,27.992651,11.115424,16.680113,38.77456,66.71295,44.663883,27.384745,35.784092,60.87287,25.780685,9.650573
2023-11-01,14.702367,44.666817,20.327656,64.034966,82.72401,14.594956,29.761309,36.26708,32.471058,28.014608,11.064787,16.536543,39.02282,66.55847,44.64456,27.29843,35.737896,60.54733,25.990662,9.664325
2023-11-02,14.586759,44.749474,20.27075,63.811283,82.79534,14.601823,29.816458,36.162167,32.47826,27.998163,11.033336,16.695496,39.049767,66.42419,45.408943,27.285109,35.853336,60.20086,26.059595,9.60229
2023-11-03,14.560564,44.630573,20.19659,63.847614,82.46817,14.30554,29.886793,36.09018,32.399822,27.958267,10.880043,16.374483,38.70963,65.38721,45.170223,27.303553,35.90059,59.335167,25.783,9.568106
2023-11-04,14.496192,44.66564,20.173384,64.116615,84.236046,14.238084,30.466688,36.024185,32.41271,27.838364,10.749904,16.111504,38.58973,65.16269,45.191616,27.345234,36.21832,59.318275,25.728739,9.58133
2023-11-05,14.5103855,44.59653,20.185556,64.18317,86.07503,14.166929,30.872572,36.038666,32.482647,27.819172,10.712521,16.153399,38.804325,65.390945,45.969128,27.467695,36.82281,59.48329,26.334217,9.564732
2023-11-06,14.498646,44.531136,20.193605,64.233475,86.67046,14.023768,30.92918,36.0307,32.770267,27.862455,10.719909,16.193693,38.816486,65.41636,46.4487,27.57277,37.155724,59.46382,26.584782,9.528625
2023-11-07,14.486249,44.466827,20.197903,64.27692,86.96845,13.811225,30.81596,36.0106,33.15826,27.919062,10.736159,16.249832,38.76546,65.229004,46.68455,27.661242,37.34663,59.396267,26.677605,9.491819
2023-11-08,14.38557,44.43258,20.229506,64.30562,87.13875,13.63197,30.604227,36.086105,33.531242,27.96918,10.820358,16.24368,38.68246,65.174225,46.686024,27.798597,37.462868,59.32278,26.71362,9.492459
2023-11-09,14.349538,44.321987,20.462229,64.25395,87.21667,13.494383,30.596743,36.317345,33.93726,28.044416,10.828528,16.483677,38.855923,64.27913,46.417557,27.94921,37.24517,59.15243,26.7841,9.503532
2023-11-10,14.441543,44.279,20.6466,64.37811,87.562805,13.398837,30.692926,36.38589,34.42224,28.011162,10.87265,16.620388,38.838043,64.61389,46.570133,28.107975,37.218124,59.25523,26.743135,9.654237
2023-11-11,14.389721,44.493874,20.69143,64.497505,87.66821,13.408429,30.654066,36.2917,34.678272,28.088884,11.001185,16.647257,38.86651,65.521835,46.592773,28.066887,36.971153,59.44901,26.84661,9.685578
2023-11-12,14.442541,44.504185,20.7318,64.55587,87.754295,13.343162,30.611683,36.4567,34.817223,28.141527,11.082233,16.667233,38.834377,65.80649,46.605877,28.098005,36.946766,59.637882,26.995884,9.7013645
2023-11-13,14.440974,44.508076,20.743055,64.58664,87.75059,13.376709,30.44865,36.512157,34.902905,28.16441,11.143675,16.666965,38.803074,65.736,46.5458,28.080328,37.014744,59.862854,27.014185,9.710164
2023-11-14,14.400351,44.50711,20.741709,64.58558,87.5772,13.425513,30.190737,36.464687,34.950066,28.140146,11.187759,16.640846,38.69552,65.50555,46.44838,28.060001,37.063263,60.045677,27.006025,9.704759
2023-11-15,14.423535,44.614586,20.80541,64.502,87.35071,13.488136,30.103,36.538128,34.90733,28.035028,11.235041,16.559464,38.760216,64.99175,46.450256,28.079979,37.07391,60.088196,27.091768,9.701505
2023-11-16,14.393913,44.75178,20.772894,64.27014,87.20207,13.507035,30.009783,36.440105,34.84204,27.933676,11.2409935,16.501795,38.697014,63.74107,46.671276,28.023544,36.933136,59.721935,26.989868,9.747809
2023-11-17,14.238954,44.61706,20.67194,64.18356,85.83151,13.448893,29.429487,36.080166,34.776142,27.747602,11.304908,16.510706,38.325283,63.053875,46.748287,27.868126,36.74855,59.381866,26.695143,9.789335
2023-11-18,14.164481,45.31652,20.597788,64.2086,86.67866,13.514048,29.321539,36.156013,34.645004,27.914602,11.2563715,16.510082,38.226376,62.243454,46.072292,27.789307,36.680065,59.39474,26.539217,9.722025
