Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-11-19,17.70874,20.325611,35.69289,67.546486,27.2203,82.28816,27.18666,31.344492,11.470656,27.940056,36.161896,44.74773,13.611372,9.953576,63.72696,14.24883,25.17813,36.663475,44.450623,61.202103
2023-11-20,17.757256,20.312153,35.33597,67.35294,26.98351,82.006294,28.264616,31.620657,11.438515,27.582932,36.1476,45.527565,13.572467,9.904223,63.865936,14.275751,25.468143,38.37019,44.36549,61.025967
2023-11-21,17.833748,20.407059,35.81404,68.73013,26.949213,83.426,28.372173,32.35576,11.409468,27.321453,36.094425,45.73882,13.781349,9.882845,64.37118,14.195017,25.35756,38.27666,44.13247,61.75853
2023-11-22,17.890163,20.435581,35.20933,68.835846,26.907413,82.85842,28.305058,32.54366,11.432122,27.617674,35.616383,45.792118,13.747574,9.855637,64.357056,14.045831,25.498434,38.333908,44.506306,61.640038
2023-11-23,17.748066,20.589838,35.30032,68.712234,27.167646,81.6922,28.215076,32.46279,11.416592,27.515684,35.806606,45.500973,13.743557,9.83081,64.344,14.159432,25.48762,38.223835,44.66789,61.682186
2023-11-24,17.730877,20.647768,35.932037,69.02187,27.459578,84.91193,28.540373,32.545,11.360504,28.303734,36.255783,45.740704,14.00152,9.746023,64.5371,14.224004,25.16846,38.99107,44.04702,61.86723
2023-11-25,17.75125,20.963259,35.450455,68.5541,27.834778,83.82768,28.697973,32.426296,11.325625,28.100157,36.673985,45.21022,14.32494,9.740698,64.14175,14.542514,24.958815,38.76263,43.528828,61.316566
2023-11-26,17.641708,20.942514,35.34447,66.40653,27.53406,82.434814,28.483976,32.271217,11.283442,28.263046,36.555805,44.759304,14.193068,9.693624,63.90929,14.389829,24.942265,37.99686,43.550987,60.63504
2023-11-27,17.105516,20.768866,35.291172,66.904366,27.400553,82.330025,28.61723,32.254227,11.255644,28.914886,36.49719,45.201733,14.46544,9.70128,63.676083,14.36406,25.325418,37.994167,43.02486,60.452835
2023-11-28,16.95369,20.61149,35.838924,65.71139,27.392902,83.441925,28.554262,32.2218,11.247405,29.279377,36.486866,45.159145,14.552419,9.697931,63.76506,14.329113,26.213373,38.649776,42.89816,61.091198
