Date,POT,PVB,CMG,MSN,PVD,FPT,KDH,CTG,NVB,CTS,PVS,MWG,HAG,ITD,VNM,PVC,PDR,NLG,VIC,VCB
2023-12-15,17.705452,20.290535,35.933346,65.93385,27.126509,81.39759,27.490803,31.237469,11.792173,28.006897,35.86864,42.605373,13.90788,9.820416,63.6259,14.252791,25.006021,36.36408,43.746204,60.678173
2023-12-16,17.767212,20.256117,35.831913,66.0363,27.185753,82.211655,27.525248,31.38916,11.844882,27.924238,35.980488,43.142464,13.899932,9.776255,63.712036,14.289812,24.988422,36.453663,43.635166,60.586185
2023-12-17,17.838987,20.244001,35.737427,66.18074,27.226217,83.04313,27.635641,31.583746,11.872279,27.855745,36.05263,43.793552,13.89537,9.7354765,63.797966,14.350361,24.95764,36.6257,43.568142,60.560204
2023-12-18,17.913372,20.253405,35.62614,66.4569,27.24496,83.65094,27.816263,31.804976,11.857746,27.74753,36.079323,44.31289,13.9173355,9.708901,63.87199,14.430347,24.977446,36.85645,43.53676,60.57088
2023-12-19,17.98254,20.269463,35.515118,66.88958,27.245676,83.82215,28.039917,32.02818,11.859092,27.5494,36.049103,44.563705,13.972254,9.702749,63.923176,14.512264,25.01842,37.11144,43.53958,60.6443
2023-12-20,18.028639,20.296896,35.389866,67.335556,27.301674,83.57168,28.267725,32.20261,11.840788,27.47787,36.026306,44.662804,14.04651,9.708088,63.940018,14.593617,25.153044,37.403267,43.519127,60.75743
2023-12-21,17.986826,20.339582,35.36898,67.69787,27.35869,83.03078,28.371246,32.309196,11.789928,27.34899,36.00938,44.59187,14.1380625,9.735518,63.93389,14.642502,25.192001,37.57127,43.476994,60.933884
2023-12-22,17.93222,20.378702,35.427902,67.871284,27.416735,82.5923,28.44587,32.35496,11.655188,27.360611,35.969616,44.487457,14.286706,9.742733,63.90589,14.647233,25.20327,37.832806,43.442368,61.07392
2023-12-23,17.848972,20.41272,35.43584,67.82812,27.451788,82.078224,28.433262,32.34299,11.51254,27.56274,35.909164,44.44374,14.457527,9.737236,63.866802,14.609553,25.268389,38.105392,43.46067,61.074726
2023-12-24,17.743797,20.45896,35.482666,67.66974,27.506477,81.799255,28.422398,32.319363,11.355715,27.856838,35.849766,44.458218,14.636414,9.736649,63.805733,14.559445,25.375652,38.255573,43.42966,61.058086
2023-12-25,17.61531,20.510036,35.536343,67.411095,27.557188,81.679,28.405804,32.27445,11.225722,28.210146,35.794975,44.49053,14.801199,9.743735,63.707558,14.500144,25.499987,38.314682,43.35104,61.022614
2023-12-26,17.447231,20.554443,35.56974,67.03701,27.593615,81.65189,28.381603,32.210625,11.122029,28.559895,35.744877,44.471687,14.920526,9.753858,63.569126,14.438075,25.621395,38.34081,43.227573,60.99978
2023-12-27,17.223276,20.583551,35.603733,66.592636,27.593493,81.82057,28.401066,32.12719,11.1974325,28.907066,35.677967,44.44183,14.9547,9.718043,63.422855,14.404896,25.612608,38.36949,43.06729,60.984753
